RoomID,Capacity,Type_of_Space,Type
B09 F1.09,15,Classroom,Lab
B09 F1.12,15,Classroom,Lab
B07 F1.01,25,Classroom,Lab
B07 F1.02,25,Classroom,Lab
B07 F1.20,25,Classroom,Lab
B07 F1.21,25,Classroom,Lab
B07 F1.22,25,Classroom,Lab
B07 F1.23,25,Classroom,Lab
B07 F1.24,25,Classroom,Lab
B08 F1.07,25,Classroom,Lab
B08 F1.10,25,Classroom,Lab
B08 F1.11,25,Classroom,Lab
B08 F1.25,25,Classroom,Lab
B09 F1.04,25,Classroom,Lab
B09 F1.05,25,Classroom,Lab
B09 F1.13,25,Classroom,Lab
B09 F1.14,25,Classroom,Lab
B09 F1.22,25,Classroom,Lab
B10 F1.06,25,Classroom,Lab
B10 F1.07,25,Classroom,Lab
B10 F1.08,25,Classroom,Lab
B10 F1.10,25,Classroom,Lab
B10 F1.11,25,Classroom,Lab
B10 F1.18,25,Classroom,Lab
B17 F1.08,25,Classroom,Lab
B17 F1.09,25,Classroom,Lab
B17 F1.13,25,Classroom,Lab
B17 F1.14,25,Classroom,Lab
B17 F1.17,25,Classroom,Lab
B17 F1.18,25,Classroom,Lab
B17 G.02,25,Classroom,Lab
B17 G.04,25,Classroom,Lab
B17 G.07,25,Classroom,Lab
B17 G.08,25,Classroom,Lab
B17 G.12,25,Classroom,Lab
B17 G.19,25,Classroom,Lab
B17 G.20,25,Classroom,Lab
B17 G.21,25,Classroom,Lab
B18 F1.02,25,Classroom,Lab
B18 F1.08,25,Classroom,Lab
B18 F1.12,25,Classroom,Lab
B18 F1.13,25,Classroom,Lab
B18 F1.20,25,Classroom,Lab
B18 G.02,25,Classroom,Lab
B18 G.03,25,Classroom,Lab
B18 G.04,25,Classroom,Lab
B18 G.07,25,Classroom,Lab
B18 G.11,25,Classroom,Lab
B18 G.12,25,Classroom,Lab
B18 G.16,25,Classroom,Lab
B18 G.19,25,Classroom,Lab
B18 G.20,25,Classroom,Lab
B25 F1.10,25,Classroom,Lab
B25 F1.11,25,Classroom,Lab
B25 F1.13,25,Classroom,Lab
B25 F1.14,25,Classroom,Lab
B25 F1.18,25,Classroom,Lab
B25 G.02,25,Classroom,Lab
B25 G.04,25,Classroom,Lab
B25 G.05,25,Classroom,Lab
B25 G.16,25,Classroom,Lab
B25 G.17,25,Classroom,Lab
B26 F1.02,25,Classroom,Lab
B26 F1.03,25,Classroom,Lab
B26 F1.04,25,Classroom,Lab
B26 F1.12,25,Classroom,Lab
B26 F1.19,25,Drawing Studio,Lab
B26 G.03,25,Classroom,Lab
B26 G.04,25,Classroom,Lab
B26 G.06,25,Classroom,Lab
B26 G.07,25,Classroom,Lab
B26 G.10,25,Classroom,Lab
B26 G.12,25,Classroom,Lab
B26 G.13,25,Classroom,Lab
B26 G.18,25,Classroom,Lab
B26 G.20,25,Classroom,Lab
B08 F1.06,50,Classroom,Lab
B18 F1.01,50,Classroom,Lab
B18 F1.05,50,Classroom,Lab
B18 F1.10,50,Classroom,Lab
B18 F1.14,50,Classroom,Lab
B18 F1.19,50,Classroom,Lab
B18 G.09,50,Classroom,Lab
B18 G.13,50,Classroom,Lab
B18 G.18,50,Computer Lab,Lab
B18 G.21,50,Classroom,Lab
B25 G.13,50,Classroom,Lab
B26 G.01,50,Drawing Studio,Lab
B26 G.02,50,Classroom,Lab
B26 G.11,50,Drawing Studio,Lab
B26 G.14,50,Classroom,Lab
B26 G.19,50,Drawing Studio,Lab
CoE F1.12,50,Drawing Studio,Lab
B07 G.01,75,Classroom,Lecture
B08 G.41,75,Classroom,Lecture
B09 G.35,75,Classroom,Lecture
B17 F1.03,75,Classroom,Lecture
B17 F1.15,75,Classroom,Lecture
B17 F1.16,75,Classroom,Lecture
B17 G.09,75,Classroom,Lecture
B18 G.08,75,Classroom,Lecture
B26 F1.01,75,Classroom,Lecture
B26 F1.08,75,Classroom,Lecture
B26 F1.10,75,Classroom,Lecture
B26 F1.13,75,Classroom,Lecture
B26 F1.16,75,Classroom,Lecture
B26 G.08,75,Classroom,Lecture
B26 G.21,75,Classroom,Lecture
B7 Theater,100,Theater,Lecture
B8 Theater,100,Theater,Lecture
B9 Theater,100,Theater,Lecture
B10 Theater,100,Theater,Lecture
B25 G-21,100,Theater,Lecture
B25 F1-19,100,Theater,Lecture
B18 F1-21,100,Theater,Lecture
B26 G-22 ,100,Theater,Lecture
Hall - Blue,150,Hall,Lecture
Hall - Green,150,Hall,Lecture
Hall - Red,150,Hall,Lecture
Hall - Yellow,150,Hall,Lecture
