Department,Level,CourseID,Specialization,preferred_Prof,preferred_Assi
CSIT,1,CSC111,Core,P35,"A10,A14,A15,A35"
CSIT,1,ECE111,Core,P08,A02
CSIT,1,MTH111,Core,P14,A01
CSIT,1,PHY113,Core,P01,"A01,A06"
CSIT,1,LRA101,Core,P40,
CSIT,1,LRA104,Core,P03,
CSIT,1,LRA105,Core,P33,
CSIT,1,LRA401,Core,,"A38,A40"
CSIT,2,CSC211,Core,P06,"A12,A13,A36"
CSIT,2,CSE214,Core,P30,"A08,A17"
CSIT,2,MTH212,Core,P14,A01
CSIT,2,ACM215,Core,P04,"A43,A44,A45"
CSIT,2,LRA306,Core,P34,
CSIT,2,LRA403,Core,,"A38,A40"
CSIT,3,AID312,Core,P07,"A16,A21,A28"
CSIT,3,ECE324,Core,P04,A02
CSIT,3,CNC311,Core,P38,"A07,A15,A33"
CSIT,3,CNC314,Core,P27,"A16,A20,A33"
CSIT,3,AID311,AID,P05,"A12,A21,A28"
CSIT,3,CSC317,AID,P19,"A12,A13,A21,A37"
CSIT,3,CNC312,CNC,P35,"A03,A33"
CSIT,3,CSC317,CNC,P19,"A12,A13,A21,A37"
CSIT,3,CSC314,CSC,P32,A24
CSIT,3,CSC317,CSC,P19,"A12,A13,A21,A37"
CSIT,3,BIF311,BIF,P44,A25
CSIT,3,CSC315,BIF,P30,"A17,A37"
CSIT,4,AID411,AID,P23,"A14,A29"
CSIT,4,AID413,AID,P37,A13
CSIT,4,AID417,AID,P27,"A07,A29"
CSIT,4,AID427,AID,P06,A06
CSIT,4,AID428,AID,P07,A06
CSIT,4,CNC411,CNC,P06,"A10,A35"
CSIT,4,CNC413,CNC,P13,A41
CSIT,4,CNC415,CNC,P32,A41
CSIT,4,CNC418,CNC,P19,A41
CSIT,4,CNC419,CNC,P19,A41
CSIT,4,CSC410,CSC,P28,A42
CSIT,4,CSC411,CSC,P28,A42
CSIT,4,CSC412,CSC,P13,A42
CSIT,4,CSC414,CSC,P32,A42
CSIT,4,CSC415,CSC,P29,A42
CSIT,4,CSC426,CSC,P32,A42
CSIT,4,BIF411,BIF,P39,A23
CSIT,4,BIF412,BIF,P39,A26
CSIT,4,BIF413,BIF,P23,A25
CSIT,4,BIF424,BIF,P28,A26
CSIT,4,BIF425,BIF,P09,"A14,A32"
